val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
542,67,876,414,26,335,620,924,950,113,5,1,7,4,0,3,6,8,9,2
378,14,210,954,231,572,315,295,567,706,5,0,1,9,2,7,4,3,6,8
749,876,73,111,899,213,541,769,287,219,6,8,0,1,9,2,5,7,4,3
372,880,475,329,733,564,739,376,632,10,2,9,4,1,7,5,8,3,6,0
186,822,577,519,707,123,143,294,693,677,2,9,5,4,8,0,1,3,7,6
70,709,370,739,86,499,215,384,978,908,0,6,3,7,1,5,2,4,9,8
266,630,540,560,470,561,323,720,11,461,1,8,5,6,4,7,2,9,0,3
177,289,184,553,548,409,483,507,558,491,0,2,1,8,7,3,4,6,9,5
214,691,636,903,582,490,389,528,555,33,1,8,7,9,6,3,2,4,5,0
527,547,865,589,141,645,761,339,861,564,2,3,9,5,0,6,7,1,8,4
270,553,137,275,217,321,205,507,845,438,3,8,0,4,2,5,1,7,9,6
695,934,391,221,990,139,720,429,111,268,6,8,4,2,9,1,7,5,0,3
239,436,217,46,500,79,865,992,539,251,3,5,2,0,6,1,8,9,7,4
947,468,936,20,806,108,576,848,110,496,9,3,8,0,6,1,5,7,2,4
39,200,355,119,335,382,170,618,168,407,0,4,6,1,5,7,3,9,2,8
922,82,896,298,332,977,566,553,800,883,8,0,7,1,2,9,4,3,5,6
966,880,63,947,193,328,39,278,902,325,9,6,1,8,2,5,0,3,7,4
735,724,658,651,487,109,722,146,648,402,9,8,6,5,3,0,7,1,4,2
348,662,21,90,880,676,225,510,846,69,4,6,0,2,9,7,3,5,8,1
942,954,392,870,702,473,313,931,156,394,8,9,2,6,5,4,1,7,0,3
326,359,894,568,659,172,495,819,349,36,2,4,9,6,7,1,5,8,3,0
974,870,228,822,434,340,611,260,207,590,9,8,1,7,4,3,6,2,0,5
18,578,149,571,993,201,604,21,440,388,0,7,2,6,9,3,8,1,5,4
725,51,307,539,299,595,709,837,290,263,8,0,4,5,3,6,7,9,2,1
81,766,843,576,502,525,408,104,72,898,1,7,8,6,4,5,3,2,0,9
13,0,675,692,704,538,174,493,951,602,1,0,6,7,8,4,2,3,9,5
600,893,764,112,842,161,123,127,350,538,6,9,7,0,8,3,1,2,4,5
37,183,767,847,432,155,264,77,272,393,0,3,8,9,7,2,4,1,5,6
667,619,733,70,49,882,512,516,592,775,6,5,7,1,0,9,2,3,4,8
240,738,864,281,953,555,573,830,444,727,0,6,8,1,9,3,4,7,2,5
256,272,482,677,721,676,595,41,479,733,1,2,4,7,8,6,5,0,3,9
487,46,195,390,338,815,498,8,406,981,6,1,2,4,3,8,7,0,5,9
535,828,851,209,381,941,730,222,599,191,4,7,8,1,3,9,6,2,5,0
896,920,899,146,885,263,900,978,875,843,5,8,6,0,4,1,7,9,3,2
794,99,178,993,914,542,954,11,63,142,6,2,4,9,7,5,8,0,1,3
99,648,976,823,679,94,657,511,936,954,1,3,9,6,5,0,4,2,7,8
827,208,80,761,854,342,837,241,850,854,5,1,0,4,8,3,6,2,7,9
915,679,617,911,336,259,931,784,649,56,8,5,3,7,2,1,9,6,4,0
327,541,331,100,84,239,74,870,864,336,4,7,5,2,1,3,0,9,8,6
682,970,887,903,202,819,191,173,959,520,4,9,6,7,2,5,1,0,8,3
919,875,378,712,23,387,837,663,979,77,8,7,2,5,0,3,6,4,9,1
26,319,957,392,370,360,356,313,343,789,0,2,9,7,6,5,4,1,3,8
681,169,253,10,271,300,352,187,464,91,9,2,4,0,5,6,7,3,8,1
56,357,76,679,179,447,63,39,758,378,1,5,3,8,4,7,2,0,9,6
872,39,848,559,59,834,346,797,510,333,9,0,8,5,1,7,3,6,4,2
533,997,485,805,868,618,773,647,770,594,1,9,0,7,8,3,6,4,5,2
545,316,885,824,323,958,391,424,244,203,6,2,8,7,3,9,4,5,1,0
220,247,114,331,258,367,416,799,560,899,1,2,0,4,3,5,6,8,7,9
875,317,60,509,628,925,490,707,640,388,8,1,0,4,5,9,3,7,6,2
879,756,912,437,836,438,258,91,712,715,8,6,9,2,7,3,1,0,4,5
382,716,164,639,182,720,663,186,823,905,3,6,0,4,1,7,5,2,8,9
224,921,142,829,209,874,87,989,879,57,4,8,2,5,3,6,1,9,7,0
935,438,917,214,257,574,922,401,641,985,8,3,6,0,1,4,7,2,5,9
976,999,808,136,154,557,735,718,388,353,8,9,7,0,1,4,6,5,3,2
702,49,530,433,256,383,316,347,905,806,7,0,6,5,1,4,2,3,9,8
88,955,692,275,824,903,799,549,503,165,0,9,5,2,7,8,6,4,3,1
819,666,166,134,507,793,345,31,294,302,9,7,2,1,6,8,5,0,3,4
901,978,280,681,958,525,308,957,529,721,6,9,0,4,8,2,1,7,3,5
589,424,267,897,501,470,29,466,763,388,7,3,1,9,6,5,0,4,8,2
696,279,140,963,235,35,212,918,547,573,7,4,1,9,3,0,2,8,5,6
308,903,771,581,158,50,598,991,547,231,3,8,7,5,1,0,6,9,4,2
748,137,115,601,517,634,704,743,678,394,9,1,0,4,3,5,7,8,6,2
899,841,606,785,612,97,476,749,286,670,9,8,3,7,4,0,2,6,1,5
440,555,540,584,433,49,968,366,57,879,4,6,5,7,3,0,9,2,1,8
589,709,127,480,119,556,932,296,151,532,7,8,1,4,0,6,9,3,2,5
110,679,542,836,597,4,566,202,491,321,1,8,5,9,7,0,6,2,4,3
23,298,260,253,576,12,205,11,844,198,2,7,6,5,8,1,4,0,9,3
880,981,213,693,507,764,99,383,521,241,8,9,1,6,4,7,0,3,5,2
95,852,766,731,352,845,653,708,822,513,0,9,6,5,1,8,3,4,7,2
9,877,436,267,233,587,958,489,865,418,0,8,4,2,1,6,9,5,7,3
785,919,840,503,588,28,19,623,455,567,7,9,8,3,5,1,0,6,2,4
782,729,200,67,975,639,138,27,775,883,7,5,3,1,9,4,2,0,6,8
137,674,883,800,152,420,258,690,548,411,0,6,9,8,1,4,2,7,5,3
178,432,16,767,401,570,523,108,524,259,2,5,0,9,4,8,6,1,7,3
238,437,145,404,426,209,746,366,912,289,2,7,0,5,6,1,8,4,9,3
895,884,833,425,217,389,489,482,32,646,9,8,7,3,1,2,5,4,0,6
51,433,348,321,940,162,628,991,83,536,0,5,4,3,8,2,7,9,1,6
308,844,272,315,33,828,800,23,831,186,4,9,3,5,1,7,6,0,8,2
184,170,439,203,521,464,262,567,55,462,2,1,5,3,8,7,4,9,0,6
285,71,692,707,312,94,668,926,984,482,2,0,6,7,3,1,5,8,9,4
640,213,216,24,429,67,791,952,581,324,7,2,3,0,5,1,8,9,6,4
2,826,496,603,339,380,960,114,291,184,0,8,6,7,4,5,9,1,3,2
606,507,69,606,623,699,978,81,174,823,4,3,0,5,6,7,9,1,2,8
868,308,658,75,480,499,794,348,971,612,8,1,6,0,3,4,7,2,9,5
102,975,120,758,212,68,17,217,966,109,2,9,4,7,5,1,0,6,8,3
606,793,44,586,438,396,490,146,993,430,7,8,0,6,4,2,5,1,9,3
587,376,241,473,347,752,588,461,974,941,5,2,0,4,1,7,6,3,9,8
500,439,729,640,65,58,289,913,340,132,6,5,8,7,1,0,3,9,4,2
204,917,722,751,815,724,872,269,571,152,1,9,4,6,7,5,8,2,3,0
662,758,328,764,659,907,597,99,862,954,4,5,1,6,3,8,2,0,7,9
604,331,989,278,674,89,457,826,542,477,6,2,9,1,7,0,3,8,5,4
706,652,532,713,139,981,729,515,67,807,5,4,3,6,1,9,7,2,0,8
388,662,0,710,336,50,772,523,645,248,4,7,0,8,3,1,9,5,6,2
894,851,80,512,855,384,805,116,285,17,9,7,1,5,8,4,6,2,3,0
51,372,855,468,428,470,548,943,997,852,0,1,7,3,2,4,5,8,9,6
306,963,828,483,18,18,707,920,145,838,3,9,6,4,0,1,5,8,2,7
568,16,869,870,6,168,428,325,869,274,6,1,7,9,0,2,5,4,8,3
175,446,712,466,691,465,271,535,831,213,0,3,8,5,7,4,2,6,9,1
859,815,243,12,111,657,235,547,497,7,9,8,4,1,2,7,3,6,5,0
281,939,921,715,739,372,832,131,911,618,1,9,8,4,5,2,6,0,7,3
749,966,368,112,976,412,995,460,11,223,6,7,3,1,8,4,9,5,0,2
460,740,477,114,556,413,569,122,567,436,4,9,5,0,6,2,8,1,7,3
190,240,161,737,327,413,81,898,716,764,2,3,1,7,4,5,0,9,6,8
302,287,824,373,32,777,687,374,632,546,2,1,9,3,0,8,7,4,6,5
988,297,790,824,613,210,242,288,380,216,9,4,7,8,6,0,2,3,5,1
793,712,194,494,432,660,927,694,309,715,8,6,0,3,2,4,9,5,1,7
248,748,718,116,597,26,12,102,780,268,4,8,7,3,6,1,0,2,9,5
892,985,753,762,16,476,333,984,469,24,7,9,5,6,0,4,2,8,3,1
970,76,236,971,373,24,464,503,607,785,8,1,2,9,3,0,4,5,6,7
179,550,151,726,921,193,545,365,229,346,1,7,0,8,9,2,6,5,3,4
242,169,659,16,813,659,244,429,557,738,2,1,6,0,9,7,3,4,5,8
720,296,23,758,654,414,806,516,236,109,7,3,0,8,6,4,9,5,2,1
553,522,98,262,13,487,859,329,85,425,8,7,2,3,0,6,9,4,1,5
153,545,357,894,506,994,30,489,843,992,1,5,2,7,4,9,0,3,6,8
37,600,55,366,299,109,38,633,922,8,1,7,3,6,5,4,2,8,9,0
4,252,779,497,543,88,369,560,227,363,0,3,9,6,7,1,5,8,2,4
79,612,841,101,612,217,420,917,946,514,0,5,7,1,6,2,3,8,9,4
583,826,514,814,200,758,694,311,118,514,5,9,3,8,1,7,6,2,0,4
165,407,71,43,999,11,687,448,866,535,3,4,2,1,9,0,7,5,8,6
730,10,652,151,209,860,65,434,362,924,7,0,6,2,3,8,1,5,4,9
564,609,411,161,268,85,484,309,104,460,8,9,5,2,3,0,7,4,1,6
736,787,569,901,137,160,717,617,212,482,7,8,4,9,0,1,6,5,2,3
360,49,528,726,640,885,366,135,645,994,2,0,4,7,5,8,3,1,6,9
862,895,868,552,441,835,128,767,896,826,6,8,7,2,1,5,0,3,9,4
740,555,494,278,566,143,389,781,25,643,8,5,4,2,6,1,3,9,0,7
22,37,479,897,244,137,165,586,439,850,0,1,6,9,4,2,3,7,5,8
126,346,78,78,869,194,30,923,268,985,3,6,1,2,7,4,0,8,5,9
497,357,730,682,894,663,872,254,140,323,4,3,7,6,9,5,8,1,0,2
129,622,480,904,278,685,425,765,443,856,0,5,4,9,1,6,2,7,3,8
552,660,179,400,243,353,642,872,940,457,5,7,0,3,1,2,6,8,9,4
790,667,22,437,393,782,151,503,632,987,8,6,0,3,2,7,1,4,5,9
234,41,232,108,565,147,433,823,145,826,5,0,4,1,7,3,6,8,2,9
799,562,732,909,12,864,312,860,405,12,6,4,5,9,0,8,2,7,3,1
997,589,406,151,219,437,274,493,429,357,9,8,4,0,1,6,2,7,5,3
950,911,166,240,334,674,282,878,935,660,9,7,0,1,3,5,2,6,8,4
3,927,422,749,769,355,803,138,803,342,0,9,4,5,6,3,7,1,8,2
797,589,208,981,599,77,754,181,480,465,8,5,2,9,6,0,7,1,4,3
414,258,799,113,42,652,987,412,757,873,4,2,7,1,0,5,9,3,6,8
733,635,602,731,952,587,872,579,398,112,7,5,4,6,9,3,8,2,1,0
113,853,815,453,140,965,794,134,995,724,0,7,6,3,2,8,5,1,9,4
186,482,384,837,369,103,633,452,430,929,1,6,3,8,2,0,7,5,4,9
827,729,212,391,257,675,280,870,908,208,7,6,1,4,2,5,3,8,9,0
808,768,906,358,311,749,254,202,821,790,7,5,9,3,2,4,1,0,8,6
264,596,197,187,19,721,493,484,895,674,3,6,2,1,0,8,5,4,9,7
576,65,91,370,266,952,935,599,253,923,5,0,1,4,3,9,8,6,2,7
71,164,767,18,80,220,733,851,925,858,1,3,6,0,2,4,5,7,9,8
244,300,780,338,314,301,889,357,187,976,1,2,7,5,4,3,8,6,0,9
628,929,904,617,879,455,54,295,981,271,5,8,7,4,6,3,0,2,9,1
546,740,101,984,846,46,630,640,944,96,3,6,2,9,7,0,4,5,8,1
360,862,246,465,773,900,71,551,778,38,3,8,2,4,6,9,1,5,7,0
266,237,229,898,542,658,647,441,23,155,4,3,2,9,6,8,7,5,0,1
206,310,220,256,939,365,398,154,203,180,3,6,4,5,9,7,8,0,2,1
629,808,64,980,708,18,14,16,733,323,5,8,3,9,6,2,0,1,7,4
557,857,113,308,738,897,920,981,253,868,3,5,0,2,4,7,8,9,1,6
710,222,899,4,639,315,927,14,532,783,6,2,8,0,5,3,9,1,4,7
436,500,246,91,147,852,377,802,126,826,5,6,3,0,2,9,4,7,1,8
874,843,715,721,714,546,964,939,234,877,6,5,3,4,2,1,9,8,0,7
449,471,677,29,719,678,822,281,957,274,3,4,5,0,7,6,8,2,9,1
243,281,964,495,357,521,960,336,638,775,0,1,9,4,3,5,8,2,6,7
675,266,547,43,515,439,483,652,695,316,8,1,6,0,5,3,4,7,9,2
791,894,185,216,675,678,305,752,381,442,8,9,0,1,5,6,2,7,3,4
932,293,751,712,485,434,374,288,709,676,9,1,8,7,4,3,2,0,6,5
756,177,853,83,133,542,784,952,446,933,5,2,7,0,1,4,6,9,3,8
502,754,647,542,572,582,432,924,192,537,2,8,7,4,5,6,1,9,0,3
299,832,388,249,40,306,534,635,536,169,3,9,5,2,0,4,6,8,7,1
770,5,705,790,657,98,713,18,264,847,7,0,5,8,4,2,6,1,3,9
378,386,907,114,306,469,343,360,286,291,6,7,9,0,3,8,4,5,1,2
109,876,239,72,936,548,998,818,453,361,1,7,2,0,8,5,9,6,4,3
283,9,316,128,630,32,587,696,552,339,3,0,4,2,8,1,7,9,6,5
45,389,43,942,332,991,152,630,168,991,1,5,0,7,4,8,2,6,3,9
276,317,702,402,658,623,810,757,63,413,1,2,7,3,6,5,9,8,0,4
532,440,628,604,93,511,183,34,465,256,7,4,9,8,1,6,2,0,5,3
741,914,718,745,41,581,595,8,241,77,7,9,6,8,1,4,5,0,3,2
901,210,806,83,360,319,84,470,950,874,8,2,6,0,4,3,1,5,9,7
327,561,497,258,973,281,899,80,558,518,3,7,4,1,9,2,8,0,6,5
299,695,297,830,796,71,384,520,190,74,4,7,3,9,8,0,5,6,2,1
711,350,370,838,124,911,965,904,422,284,5,2,3,6,0,8,9,7,4,1
458,746,168,19,246,679,505,442,607,783,4,8,1,0,2,7,5,3,6,9
845,119,343,989,146,343,243,883,812,941,6,0,3,9,1,4,2,7,5,8
852,677,934,710,39,113,822,425,326,240,8,5,9,6,0,1,7,4,3,2
662,452,962,735,260,642,419,284,667,617,6,3,9,8,0,5,2,1,7,4
777,288,358,220,355,874,145,22,465,426,8,3,5,2,4,9,1,0,7,6
494,630,555,939,140,964,637,983,605,288,2,5,3,7,0,8,6,9,4,1
153,996,811,498,923,633,909,443,527,144,1,9,6,3,8,5,7,2,4,0
545,93,47,378,557,710,191,223,96,249,7,1,0,6,8,9,3,4,2,5
946,880,461,160,223,65,236,288,174,120,9,8,7,2,4,0,5,6,3,1
781,549,58,589,171,9,137,604,908,265,8,5,1,6,3,0,2,7,9,4
62,324,338,821,473,615,44,105,395,496,1,3,4,9,6,8,0,2,5,7
213,129,400,268,272,429,913,539,630,180,2,0,5,3,4,6,9,7,8,1
729,61,316,306,648,886,285,826,735,969,5,0,3,2,4,8,1,7,6,9
267,468,776,36,894,585,388,0,721,332,2,5,8,1,9,6,4,0,7,3
451,165,585,85,311,985,627,373,250,72,6,2,7,1,4,9,8,5,3,0
586,292,563,346,425,268,924,890,151,338,7,2,6,4,5,1,9,8,0,3
687,283,640,58,38,71,378,653,897,86,8,4,6,1,0,2,5,7,9,3
934,183,109,69,188,671,888,897,531,86,9,3,2,0,4,6,7,8,5,1
507,306,226,387,170,32,797,730,524,786,5,3,2,4,1,0,9,7,6,8
561,904,713,729,20,872,312,479,896,784,3,9,4,5,0,7,1,2,8,6
0,188,770,47,193,80,678,490,666,601,0,3,9,1,4,2,8,5,7,6
60,595,603,234,493,965,409,267,90,924,0,6,7,2,5,9,4,3,1,8
995,522,802,832,548,384,345,624,214,328,9,4,7,8,5,3,2,6,0,1
886,43,845,207,815,610,927,718,748,128,8,0,7,2,6,3,9,4,5,1
14,100,205,783,525,287,928,33,216,683,0,2,3,8,6,5,9,1,4,7
310,858,817,280,980,625,878,119,281,583,3,7,6,1,9,5,8,0,2,4
238,608,206,97,196,973,313,382,877,526,3,7,2,0,1,9,4,5,8,6
236,758,264,514,439,487,409,826,686,196,1,8,2,6,4,5,3,9,7,0
545,870,21,27,38,234,97,418,841,790,6,9,0,1,2,4,3,5,8,7
576,501,646,775,418,219,843,68,457,978,5,4,6,7,2,1,8,0,3,9
508,402,847,713,590,798,339,502,678,839,3,1,9,6,4,7,0,2,5,8
456,771,140,349,576,380,993,992,455,292,5,7,0,2,6,3,9,8,4,1
233,131,341,977,566,410,185,553,453,154,3,0,4,9,8,5,2,7,6,1
94,76,692,337,55,167,874,290,374,629,2,1,8,5,0,3,9,4,6,7
795,356,637,56,156,925,100,99,448,199,8,5,7,0,3,9,2,1,6,4
647,635,318,288,193,661,680,158,534,835,6,5,3,2,1,7,8,0,4,9
844,456,61,528,690,460,573,655,77,841,9,2,0,4,7,3,5,6,1,8
